body-site	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subject	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria|k__Bacteria_x__L2|k__Bacteria_x__L3|k__Bacteria_x__L4|k__Bacteria_x__L5|k__Bacteria_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006358087487283825	0.002279981760145919	0.016134134767478645	0.015688735487919672	0.0	0.007047216349541931	0.0008428150021070375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|o__Actinomycetales_f__L5|o__Actinomycetales_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001780264496439471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005334914048606995	0.0	0.0	0.0017119100024455857	0.012572968118545127	0.0	0.01894521249359959	0.009943181818181818	0.005148514851485149	0.0	0.013416946186378884	0.0056837178201270475	0.002013519344167985
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000762970498474059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.0	0.000977244171436549	0.0	0.0	0.0	0.0	0.0	0.0	0.29399796541200407	0.3116735066119471	0.0335336918696615	0.05145905240037653	0.005730092867022327	0.10711768851303735	0.14538558786346398	0.06969919295671313	0.0	0.0	0.0	0.0014204545454545455	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Dermabacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004891171435558817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae|g__Blastococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005020395356134295	0.0	0.0028188865398167725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae|f__Intrasporangiaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005334170065892689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072168183244430495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066119471044231645	0.0	0.0031377470975839346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002797558494404883	0.011855905152758778	0.00506168933881683	0.0012550988390335738	0.03517091483896463	0.008456659619450317	0.009270965023177412	0.009048667155783811	0.07992815446789403	0.035555555555555556	0.02304147465437788	0.039299242424242424	0.012277227722772278	0.05803571428571429	0.01575032813183608	0.03744567034436643	0.005465266791313103
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002288911495422177	0.0	0.0	0.004392845936617509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Aeromicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037926675094816687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Marmoricola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00506168933881683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001780264496439471	0.007067943456452348	0.0009490667510281556	0.0021964229683087543	0.0	0.021846370683579985	0.007585335018963337	0.008559550012227928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001467351430667645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|f__Coriobacteriaceae_g__L6	0.0	0.0	0.0002450379808870375	0.000468384074941452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003668378576669112	0.0	0.0	0.002560163850486431	0.0	0.0	0.0	0.000729181857955374	0.001170177198261451	0.001869696533870272
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021964229683087543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|o__Bacteroidales_x__L5|o__Bacteroidales_x__L6	0.0	0.0	0.007106101445724087	0.0078064012490242	0.004374057315233786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|o__Bacteroidales_f__L5|o__Bacteroidales_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001467351430667645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.5805084745762712	0.6440039089766858	0.5597892673364372	0.4708821233411397	0.4642533936651584	0.5226021110601193	0.6128827340871554	0.6491402586329402	0.00254323499491353	0.002279981760145919	0.009807023093957609	0.01631628490743646	0.0005927682276229994	0.02255109231853418	0.0058997050147492625	0.0	0.00449034575662326	0.005	0.0	0.0023674242424242425	0.0	0.005580357142857143	0.0011666909727285986	0.0008358408559010365	0.0012944052926794189
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Paludibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001780264496439471	0.0025079799361605107	0.0	0.0	0.0	0.0	0.0	0.010760577158229395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.0	0.015915119363395226	0.02634158294535653	0.07665886026541764	0.02895927601809955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
