class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subclass	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl
subject	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Schwartzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6603.081438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4103.96716826	1271.61749746	28613.352898	0.0	0.0	7705.9869591	9504.95049505	7575.75757576	4096.26216078	2777.77777778	3592.2766053	11362.0020135	11868.9401538	6708.47309319	3906.25
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15374.9607782	8857.95634293	2279.98176015	2288.91149542	0.0	0.0	4933.05144468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Mogibacteriaceae_	0.0	0.0	0.0	0.0	452.488687783	780.640124902	490.075961774	279.21262041	1255.09883903	0.0	0.0	508.646998983	11249.6943018	0.0	0.0	1580.71527366	3960.3960396	1893.93939394	7168.45878136	0.0	0.0	0.0	835.840855901	1604.2000875	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria	0.0	0.0	0.0	642.013353878	0.0	0.0	0.0	0.0	10040.7907123	7592.53400823	23711.8103055	12970.4984741	54047.4443629	50990.3076275	33121.9168428	234736.218139	189702.970297	224431.818182	43522.7854583	282777.777778	8082.62236192	192866.388609	288365.095286	514510.718973	248883.928571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Acidaminobacteraceae_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1467.35143067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	0.0	0.0	0.0	0.0	28959.2760181	76658.8602654	26341.5829454	15915.1193634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Chlorophyta.f__Trebouxiophyceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.324129275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
